Value_sc,thunder_signal,thunder_risk_raw,thunder_level,thunder_color,thunder_label_sr,thunder_label_en,thunder_confidence,thunder_spatial_support,thunder_ecmwf,thunder_icon,thunder_gefs,thunder_models_ge10,thunder_models_ge40,thunder_model_spread,thunder_dominant_model,thunder_interpretation_sr,hail_signal,hail_color,hail_level,hail_label_sr,hail_label_en,hail_confidence,hail_ecmwf,hail_icon,hail_gefs,large_hail_signal,large_hail_color,large_hail_level,large_hail_label_sr,large_hail_label_en,large_hail_confidence,very_large_hail_signal,very_large_hail_color,very_large_hail_level,very_large_hail_label_sr,very_large_hail_label_en,very_large_hail_confidence,hail_models_ge10,hail_models_ge40,hail_models_ge50,hail_model_spread,large_hail_models_ge10,large_hail_model_spread,very_large_hail_models_ge10,very_large_hail_model_spread,storm_overview_level,storm_overview_color,storm_overview_label_sr,storm_overview_label_en,storm_dominant_hazard,storm_overview_confidence,forecast_hour,product_family,product_status,probability_status,source_models,data_source_status,institutional_status
ПЛАНДИШТЕ,11.0,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,MODERATE,LOW,28.0,5.0,0.0,1,0,28.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ПОДУЈЕВО,10.7,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,MODERATE,MODERATE,32.0,0.0,0.0,1,0,32.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ПОЖАРЕВАЦ-ГРАД,7.3,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,MODERATE,MODERATE,22.0,0.0,0.0,1,0,22.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima umerenu lokalnu prostornu podršku.,1.3,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,4.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,4.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ПОЖЕГА,16.0,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,HIGH,48.0,0.0,0.0,1,1,48.0,ECMWF,"ECMWF ENS daje najjači signal (48.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima visoku lokalnu prostornu podršku.",11.3,YELLOW,1,ПОВИШЕН,ELEVATED,MODERATE,34.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,0,0,34.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER+HAIL,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ПРЕШЕВО,1.1,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,NONE,0.0,0.0,3.2,0,0,3.2,GEFS,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ПРИЈЕПОЉЕ,27.4,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,MODERATE,74.0,5.0,3.2,1,1,70.8,ECMWF,"ECMWF ENS daje najjači signal (74.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima umerenu lokalnu prostornu podršku.",19.5,YELLOW,1,ПОВИШЕН,ELEVATED,LOW,56.0,2.5,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,1,1,56.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER+HAIL,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ПРИБОЈ,30.2,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,MODERATE,74.0,10.0,6.5,2,1,67.5,ECMWF,"ECMWF ENS daje najjači signal (74.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima umerenu lokalnu prostornu podršku.",21.7,YELLOW,1,ПОВИШЕН,ELEVATED,LOW,56.0,2.5,6.5,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,1,1,53.5,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER+HAIL,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ПРИЗРЕН,10.5,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,MODERATE,MODERATE,24.0,7.5,0.0,1,0,24.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ПРИШТИНА-ГРАД,1.1,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,NONE,0.0,0.0,3.2,0,0,3.2,GEFS,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ПРОКУПЉЕ,2.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,NONE,8.0,0.0,0.0,0,0,8.0,ECMWF,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
РАЖАЊ,6.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,MODERATE,20.0,0.0,0.0,1,0,20.0,ECMWF,Modeli daju relativno dobro usaglašen signal. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
РАЧА,11.3,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,MODERATE,HIGH,34.0,0.0,0.0,1,0,34.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima visoku lokalnu prostornu podršku.,1.3,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,4.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,4.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
РАШКА,18.0,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,HIGH,54.0,0.0,0.0,1,1,54.0,ECMWF,"ECMWF ENS daje najjači signal (54.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima visoku lokalnu prostornu podršku.",1.3,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,4.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,4.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
РЕКОВАЦ,8.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,MODERATE,MODERATE,26.0,0.0,0.0,1,0,26.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
РУМА,16.3,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,MODERATE,44.0,5.0,0.0,1,1,44.0,ECMWF,"ECMWF ENS daje najjači signal (44.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima umerenu lokalnu prostornu podršku.",8.3,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,20.0,5.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,0,0,20.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
СЈЕНИЦА,9.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,MODERATE,MODERATE,26.0,0.0,3.2,1,0,26.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima umerenu lokalnu prostornu podršku.,1.3,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,4.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,4.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
СВИЛАЈНАЦ,6.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,MODERATE,20.0,0.0,0.0,1,0,20.0,ECMWF,Modeli daju relativno dobro usaglašen signal. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.7,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,2.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,2.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
СВРЉИГ,4.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,LOW,14.0,0.0,0.0,1,0,14.0,ECMWF,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
СЕНТА,0.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,NONE,2.0,0.0,0.0,0,0,2.0,ECMWF,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
СЕЧАЊ,4.8,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,MODERATE,12.0,2.5,0.0,1,0,12.0,ECMWF,Modeli daju relativno dobro usaglašen signal. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
СМЕДЕРЕВО-ГРАД,12.2,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,MODERATE,HIGH,34.0,2.5,0.0,1,0,34.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima visoku lokalnu prostornu podršku.,1.3,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,4.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,4.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
СМЕДЕРЕВСКА ПАЛАНКА,11.3,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,MODERATE,HIGH,34.0,0.0,0.0,1,0,34.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima visoku lokalnu prostornu podršku.,2.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,6.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,6.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
СОКОБАЊА,6.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,MODERATE,20.0,0.0,0.0,1,0,20.0,ECMWF,Modeli daju relativno dobro usaglašen signal. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
СОМБОР-ГРАД,0.0,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,NONE,0.0,0.0,0.0,0,0,0.0,ECMWF,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
